text,category
GST invoice for Toll charges for highway travel Pune to Mumbai,Travel
payment towards metro card recharge for daily office commute,Travel
Recurring charge: XpressBees logistics pickup and delivery,Logistics
Invoice for Standing desk converter and monitor riser,Office Supplies
Invoice for Staplers paper clips and binder accessories,Office Supplies
Payment towards Razorpay payment gateway integration charges,Cloud/Software
OYO hotel accommodation for conference in Bangalore,Travel
Payment towards Slack Business Plus annual team subscription,Cloud/Software
Recurring charge: Slack Business Plus annual team subscription,Cloud/Software
invoice for paint and chemical solvents for production,Inventory
GST invoice for Razorpay payment gateway integration charges,Cloud/Software
courier charges for sending documents to client — reimbursement claim,Logistics
gst invoice for automobile spare parts for service centre stock,Inventory
Vendor invoice — Employee ID card printing and lanyards,Office Supplies
google cloud platform compute engine subscription,Cloud/Software
Recurring charge: Jira Software Cloud project management license,Cloud/Software
bill: courier charges for sending documents to client,Logistics
Bill: Purchase of raw cotton bales from supplier,Inventory
expense: food ingredients and spices bulk purchase,Inventory
gst invoice for dtdc express parcel delivery charges,Logistics
automobile spare parts for service centre stock,Inventory
Battery cells and charger units procurement — reimbursement claim,Inventory
Vendor invoice — Fuel reimbursement for personal car used for work,Travel
Vendor invoice — Bike delivery charges for same-day dispatch,Logistics
Bill: Razorpay payment gateway integration charges,Cloud/Software
Multi-plug extension board and cable organizer — reimbursement claim,Office Supplies
Invoice for FedEx international freight forwarding charges,Logistics
Vendor invoice — CCTV surveillance system monitoring charges,Utilities
invoice for employee id card printing and lanyards,Office Supplies
payment towards cement bags and construction materials purchase,Inventory
Bill: MTNL telephone and landline rental charges,Utilities
Vendor invoice — First aid kit and safety supplies for office,Office Supplies
Recurring charge: CCTV surveillance system monitoring charges,Utilities
Payment towards UPS battery backup for office computers,Office Supplies
GST invoice for Air conditioning AMC and servicing charges,Utilities
expense: keyboard and mouse combo wireless set,Office Supplies
Payment towards Transport charges for inter-state goods movement,Logistics
expense: mobile accessories wholesale lot for retail,Inventory
Bill: Wood timber and plywood for furniture workshop,Inventory
Payment towards Vistara business class ticket for CEO travel,Travel
Ergonomic office chair for workstation,Office Supplies
Diesel generator fuel for power backup,Utilities
gst invoice for food ingredients and spices bulk purchase,Inventory
Recurring charge: Vistara business class ticket for CEO travel,Travel
Steel bars and TMT rods for manufacturing — reimbursement claim,Inventory
Recurring charge: A4 printing paper ream pack for office use,Office Supplies
Recurring charge: Google Workspace Business email and storage plan,Cloud/Software
GST invoice for Return shipment reverse logistics processing fee,Logistics
expense: travel insurance premium for international trip,Travel
GST invoice for Per diem meal allowance during Hyderabad trip,Travel
Jio fiber high-speed internet monthly rental,Utilities
Bill: Porter intra-city logistics and tempo hire,Logistics
Recurring charge: OYO hotel accommodation for conference in Bangalore,Travel
Invoice for E-way bill compliant transporter charges for goods,Logistics
bill: ecom express last-mile delivery fee,Logistics
Automobile spare parts for service centre stock,Inventory
Payment towards Building maintenance and common area electricity,Utilities
Expense: Desk organizers and file folders purchase,Office Supplies
E-way bill compliant transporter charges for goods,Logistics
GST invoice for Delhivery shipment for customer order fulfilment,Logistics
Recurring charge: Desk organizers and file folders purchase,Office Supplies
Lift and elevator annual maintenance contract,Utilities
figma professional design tool license — reimbursement claim,Cloud/Software
Fuel reimbursement for personal car used for work — reimbursement claim,Travel
Invoice for Blue Dart courier charges for warehouse delivery,Logistics
wood timber and plywood for furniture workshop,Inventory
GST invoice for Ecom Express last-mile delivery fee,Logistics
Zoom Pro video conferencing license renewal,Cloud/Software
Invoice for Courier charges for sending documents to client,Logistics
bus ticket for employee inter-city commute — reimbursement claim,Travel
Warehouse to warehouse stock transfer logistics — reimbursement claim,Logistics
GST invoice for MTNL telephone and landline rental charges,Utilities
payment towards safety equipment helmets gloves for warehouse,Inventory
Invoice for Conference registration and travel grant,Travel
Bill: Visa processing and consulate fees for Singapore,Travel
Vendor invoice — XpressBees logistics pickup and delivery,Logistics
expense: herbal extracts and cosmetic raw materials,Inventory
github team plan for private repositories,Cloud/Software
Whiteboard markers and eraser set for meeting room — reimbursement claim,Office Supplies
Vendor invoice — Multi-plug extension board and cable organizer,Office Supplies
Expense: Jira Software Cloud project management license,Cloud/Software
Bill: Whiteboard markers and eraser set for meeting room,Office Supplies
wood timber and plywood for furniture workshop,Inventory
Invoice for Sewage treatment plant operating expenses,Utilities
Invoice for Pest control and fumigation service charges,Utilities
Vendor invoice — Google Cloud Platform compute engine subscription,Cloud/Software
Expense: Return shipment reverse logistics processing fee,Logistics
Vendor invoice — ChatGPT API usage and OpenAI platform credits,Cloud/Software
expense: finished goods stock replenishment from vendor,Inventory
Payment towards Projector screen for conference room,Office Supplies
Expense: Airport lounge access and priority boarding,Travel
Transport charges for inter-state goods movement,Logistics
Payment towards Bike delivery charges for same-day dispatch,Logistics
recurring charge: new relic application monitoring subscription,Cloud/Software
expense: whiteboard markers and eraser set for meeting room,Office Supplies
Expense: Zoom Pro video conferencing license renewal,Cloud/Software
Warehouse to warehouse stock transfer logistics,Logistics
bill: warehouse to warehouse stock transfer logistics,Logistics
Bill: Herbal extracts and cosmetic raw materials,Inventory
GitHub Team plan for private repositories — reimbursement claim,Cloud/Software
vendor invoice — ecom express last-mile delivery fee,Logistics
Pen drive and external hard disk purchase — reimbursement claim,Office Supplies
Invoice for UPS battery backup for office computers,Office Supplies
Recurring charge: DHL express shipping for export consignment,Logistics
Invoice for Plastic granules and moulding material,Inventory
GST invoice for Desk lamp LED study light for workstation,Office Supplies
gst invoice for mtnl telephone and landline rental charges,Utilities
recurring charge: fedex international freight forwarding charges,Logistics
Trucking charges for bulk raw material delivery,Logistics
GST invoice for Uber auto rickshaw for local client visit,Travel
Vendor invoice — Electronic components ICs and PCBs for assembly,Inventory
Invoice for Fabric rolls and textile material procurement,Inventory
Keyboard and mouse combo wireless set — reimbursement claim,Office Supplies
payment towards desk organizers and file folders purchase,Office Supplies
Rajdhani Express train fare for business travel — reimbursement claim,Travel
diesel generator fuel for power backup,Utilities
XpressBees logistics pickup and delivery — reimbursement claim,Logistics
invoice for new relic application monitoring subscription,Cloud/Software
Salesforce CRM monthly enterprise license,Cloud/Software
GST invoice for OYO hotel accommodation for conference in Bangalore,Travel
Whiteboard markers and eraser set for meeting room,Office Supplies
Vercel Pro deployment and hosting plan,Cloud/Software
Invoice for DHL express shipping for export consignment,Logistics
gst invoice for fedex international freight forwarding charges,Logistics
vendor invoice — hp ink cartridge and toner replacement,Office Supplies
Expense: Vistara business class ticket for CEO travel,Travel
Street lighting and compound security charges,Utilities
payment towards electronic components ics and pcbs for assembly,Inventory
GST invoice for Whiteboard markers and eraser set for meeting room,Office Supplies
Expense: Courier charges for sending documents to client,Logistics
office pantry supplies tea coffee sugar and cups,Office Supplies
expense: return shipment reverse logistics processing fee,Logistics
gst invoice for vistara business class ticket for ceo travel,Travel
Battery cells and charger units procurement,Inventory
recurring charge: packaging boxes cartons and bubble wrap,Inventory
Bill: Desk organizers and file folders purchase,Office Supplies
Food ingredients and spices bulk purchase — reimbursement claim,Inventory
Expense: Google Cloud Platform compute engine subscription,Cloud/Software
Jira Software Cloud project management license — reimbursement claim,Cloud/Software
Vendor invoice — Tatkal train booking for urgent site visit,Travel
Rain water harvesting system maintenance,Utilities
Tatkal train booking for urgent site visit — reimbursement claim,Travel
Expense: Trucking charges for bulk raw material delivery,Logistics
Travel insurance premium for international trip,Travel
GST invoice for Paint and chemical solvents for production,Inventory
transport charges for inter-state goods movement,Logistics
Airport lounge access and priority boarding,Travel
Trucking charges for bulk raw material delivery — reimbursement claim,Logistics
Invoice for Jio fiber high-speed internet monthly rental,Utilities
Recurring charge: Visa processing and consulate fees for Singapore,Travel
vendor invoice — finished goods stock replenishment from vendor,Inventory
Wood timber and plywood for furniture workshop — reimbursement claim,Inventory
Bill: HP ink cartridge and toner replacement,Office Supplies
GST invoice for Paper shredder for document disposal,Office Supplies
Payment towards Sewage treatment plant operating expenses,Utilities
Vendor invoice — Lift and elevator annual maintenance contract,Utilities
Expense: Computer hardware components for assembly,Inventory
GST invoice for Waste disposal and garbage collection charges,Utilities
visiting cards and letterhead printing,Office Supplies
Bill: Rain water harvesting system maintenance,Utilities
Travel insurance premium for international trip,Travel
OYO hotel accommodation for conference in Bangalore,Travel
Bill: Piped water supply and sewerage charges,Utilities
Invoice for Jira Software Cloud project management license,Cloud/Software
Cloudflare domain and CDN service subscription,Cloud/Software
Vendor invoice — Food ingredients and spices bulk purchase,Inventory
Recurring charge: Freshdesk customer support software license,Cloud/Software
Vendor invoice — Vercel Pro deployment and hosting plan,Cloud/Software
Invoice for Diesel generator fuel for power backup,Utilities
Invoice for Return shipment reverse logistics processing fee,Logistics
Bill: Travel insurance premium for international trip,Travel
XpressBees logistics pickup and delivery,Logistics
Bill: DTDC express parcel delivery charges,Logistics
Paper shredder for document disposal,Office Supplies
Expense: Pen drive and external hard disk purchase,Office Supplies
GST invoice for Salesforce CRM monthly enterprise license,Cloud/Software
gst invoice for steel bars and tmt rods for manufacturing,Inventory
GST invoice for Jio fiber high-speed internet monthly rental,Utilities
E-way bill compliant transporter charges for goods — reimbursement claim,Logistics
zoom pro video conferencing license renewal,Cloud/Software
Bill: Airport lounge access and priority boarding,Travel
payment towards travel insurance premium for international trip,Travel
Packaging boxes cartons and bubble wrap,Inventory
payment towards india post speed post and registered parcel charges,Logistics
GST invoice for Trucking charges for bulk raw material delivery,Logistics
google cloud platform compute engine subscription,Cloud/Software
Recurring charge: Blue Dart courier charges for warehouse delivery,Logistics
Bill: Battery cells and charger units procurement,Inventory
Expense: HP ink cartridge and toner replacement,Office Supplies
Bill: New Relic application monitoring subscription,Cloud/Software
Vendor invoice — Notion team workspace annual subscription,Cloud/Software
desk organizers and file folders purchase,Office Supplies
staplers paper clips and binder accessories — reimbursement claim,Office Supplies
Invoice for A4 printing paper ream pack for office use,Office Supplies
Visiting cards and letterhead printing — reimbursement claim,Office Supplies
Bill: Computer hardware components for assembly,Inventory
Recurring charge: Diesel generator fuel for power backup,Utilities
municipal property tax and civic charges — reimbursement claim,Utilities
payment towards makemytrip hotel booking for annual offsite,Travel
First aid kit and safety supplies for office,Office Supplies
Vendor invoice — Diesel generator fuel for power backup,Utilities
Payment towards Diesel generator fuel for power backup,Utilities
Printer consumables and toner for resale — reimbursement claim,Inventory
bill: diesel generator fuel for power backup,Utilities
Expense: Figma professional design tool license,Cloud/Software
Airport lounge access and priority boarding,Travel
Rental car with driver for week-long project site,Travel
Bike delivery charges for same-day dispatch,Logistics
Payment towards Paper shredder for document disposal,Office Supplies
Vendor invoice — Cement bags and construction materials purchase,Inventory
Plastic granules and moulding material,Inventory
Bike delivery charges for same-day dispatch,Logistics
Vendor invoice — IRCTC train ticket for team offsite Jaipur,Travel
HP ink cartridge and toner replacement,Office Supplies
gst invoice for jio fiber high-speed internet monthly rental,Utilities
Expense: Freshdesk customer support software license,Cloud/Software
Expense: Diesel generator fuel for power backup,Utilities
Recurring charge: Bus ticket for employee inter-city commute,Travel
pen drive and external hard disk purchase,Office Supplies
Recurring charge: Waste disposal and garbage collection charges,Utilities
Google Workspace Business email and storage plan,Cloud/Software
invoice for hp ink cartridge and toner replacement,Office Supplies
DigitalOcean droplet and managed database charges,Cloud/Software
Recurring charge: Uber auto rickshaw for local client visit,Travel
Razorpay payment gateway integration charges,Cloud/Software
Payment towards Waste disposal and garbage collection charges,Utilities
Vendor invoice — Parking charges at client premises and airport,Travel
vendor invoice — sewage treatment plant operating expenses,Utilities
MakeMyTrip hotel booking for annual offsite — reimbursement claim,Travel
Invoice for Keyboard and mouse combo wireless set,Office Supplies
Recurring charge: Adobe Creative Cloud all-apps subscription,Cloud/Software
Invoice for Office pantry supplies tea coffee sugar and cups,Office Supplies
Recurring charge: Multi-plug extension board and cable organizer,Office Supplies
Shadowfax hyperlocal delivery charges,Logistics
Invoice for Flight tickets Delhi to Mumbai for client meeting,Travel
recurring charge: pest control and fumigation service charges,Utilities
DTDC express parcel delivery charges,Logistics
Recurring charge: Staplers paper clips and binder accessories,Office Supplies
Fabric rolls and textile material procurement — reimbursement claim,Inventory
AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
bill: makemytrip hotel booking for annual offsite,Travel
office pantry supplies tea coffee sugar and cups — reimbursement claim,Office Supplies
DigitalOcean droplet and managed database charges — reimbursement claim,Cloud/Software
Building maintenance and common area electricity,Utilities
Payment towards Microsoft Azure virtual machine and storage charges,Cloud/Software
Bill: Visiting cards and letterhead printing,Office Supplies
Bill: FedEx international freight forwarding charges,Logistics
Recurring charge: Zoom Pro video conferencing license renewal,Cloud/Software
Transport charges for inter-state goods movement,Logistics
Payment towards Fuel reimbursement for personal car used for work,Travel
MongoDB Atlas managed database hosting — reimbursement claim,Cloud/Software
vendor invoice — whiteboard markers and eraser set for meeting room,Office Supplies
Recurring charge: BSNL broadband internet connection charges,Utilities
Recurring charge: Vercel Pro deployment and hosting plan,Cloud/Software
travel insurance premium for international trip,Travel
recurring charge: e-way bill compliant transporter charges for goods,Logistics
Ola cab ride from office to airport,Travel
Vendor invoice — Uber auto rickshaw for local client visit,Travel
GST invoice for Building maintenance and common area electricity,Utilities
Expense: Ecom Express last-mile delivery fee,Logistics
Payment towards Porter intra-city logistics and tempo hire,Logistics
vistara business class ticket for ceo travel,Travel
Recurring charge: Wall clock and notice board for reception,Office Supplies
invoice for cleaning supplies and housekeeping materials,Office Supplies
Invoice for MongoDB Atlas managed database hosting,Cloud/Software
invoice for pest control and fumigation service charges,Utilities
Payment towards Ergonomic office chair for workstation,Office Supplies
Delhivery shipment for customer order fulfilment,Logistics
GST invoice for Battery cells and charger units procurement,Inventory
Purchase of raw cotton bales from supplier,Inventory
Travel insurance premium for international trip — reimbursement claim,Travel
Recurring charge: Automobile spare parts for service centre stock,Inventory
Solar panel maintenance and cleaning charges — reimbursement claim,Utilities
Piped water supply and sewerage charges — reimbursement claim,Utilities
Payment towards Plastic granules and moulding material,Inventory
Bill: Uber auto rickshaw for local client visit,Travel
Vendor invoice — Figma professional design tool license,Cloud/Software
Payment towards Figma professional design tool license,Cloud/Software
Expense: Cold chain transportation for perishable goods,Logistics
Expense: Office pantry supplies tea coffee sugar and cups,Office Supplies
Payment towards BSNL broadband internet connection charges,Utilities
Vendor invoice — Finished goods stock replenishment from vendor,Inventory
Tatkal train booking for urgent site visit,Travel
payment towards battery cells and charger units procurement,Inventory
Conference registration and travel grant — reimbursement claim,Travel
payment towards pest control and fumigation service charges,Utilities
parking charges at client premises and airport,Travel
GST invoice for Cloudflare domain and CDN service subscription,Cloud/Software
Payment towards IRCTC train ticket for team offsite Jaipur,Travel
Vendor invoice — Transport charges for inter-state goods movement,Logistics
GST invoice for Solar panel maintenance and cleaning charges,Utilities
invoice for travel insurance premium for international trip,Travel
Expense: Google Workspace Business email and storage plan,Cloud/Software
Vendor invoice — Pest control and fumigation service charges,Utilities
Airport lounge access and priority boarding — reimbursement claim,Travel
Invoice for Air conditioning AMC and servicing charges,Utilities
Vendor invoice — Delhivery shipment for customer order fulfilment,Logistics
Payment towards Monthly electricity bill for office premises,Utilities
invoice for fedex international freight forwarding charges,Logistics
DigitalOcean droplet and managed database charges,Cloud/Software
Bill: Toll charges for highway travel Pune to Mumbai,Travel
Invoice for Ecom Express last-mile delivery fee,Logistics
Recurring charge: Salesforce CRM monthly enterprise license,Cloud/Software
Invoice for IRCTC train ticket for team offsite Jaipur,Travel
payment towards visiting cards and letterhead printing,Office Supplies
DHL express shipping for export consignment,Logistics
Vendor invoice — Safety equipment helmets gloves for warehouse,Inventory
monthly electricity bill for office premises,Utilities
invoice for irctc train ticket for team offsite jaipur,Travel
Expense: Food ingredients and spices bulk purchase,Inventory
Invoice for India Post speed post and registered parcel charges,Logistics
Expense: Bike delivery charges for same-day dispatch,Logistics
GST invoice for Travel insurance premium for international trip,Travel
Payment towards MTNL telephone and landline rental charges,Utilities
Invoice for Monthly electricity bill for office premises,Utilities
Recurring charge: HP ink cartridge and toner replacement,Office Supplies
Toll charges for highway travel Pune to Mumbai,Travel
Recurring charge: Monthly electricity bill for office premises,Utilities
GST invoice for Staplers paper clips and binder accessories,Office Supplies
expense: safety equipment helmets gloves for warehouse,Inventory
Expense: Paper shredder for document disposal,Office Supplies
Payment towards Loading and unloading charges at distribution centre,Logistics
Standing desk converter and monitor riser — reimbursement claim,Office Supplies
GST invoice for Parking charges at client premises and airport,Travel
Payment towards A4 printing paper ream pack for office use,Office Supplies
Waste disposal and garbage collection charges,Utilities
payment towards mobile accessories wholesale lot for retail,Inventory
Bill: Keyboard and mouse combo wireless set,Office Supplies
Electronic components ICs and PCBs for assembly,Inventory
Recurring charge: Pharmaceutical raw materials API procurement,Inventory
payment towards salesforce crm monthly enterprise license,Cloud/Software
bill: safety equipment helmets gloves for warehouse,Inventory
Expense: Rajdhani Express train fare for business travel,Travel
Per diem meal allowance during Hyderabad trip,Travel
Expense: Travel insurance premium for international trip,Travel
Notion team workspace annual subscription,Cloud/Software
Vendor invoice — Ola cab ride from office to airport,Travel
delhivery shipment for customer order fulfilment,Logistics
Recurring charge: Tatkal train booking for urgent site visit,Travel
Google Workspace Business email and storage plan — reimbursement claim,Cloud/Software
automobile spare parts for service centre stock — reimbursement claim,Inventory
Expense: Keyboard and mouse combo wireless set,Office Supplies
Air conditioning AMC and servicing charges,Utilities
GST invoice for Cold chain transportation for perishable goods,Logistics
Mobile accessories wholesale lot for retail — reimbursement claim,Inventory
GST invoice for UPS battery backup for office computers,Office Supplies
Paint and chemical solvents for production,Inventory
Payment towards MongoDB Atlas managed database hosting,Cloud/Software
Vendor invoice — Cloudflare domain and CDN service subscription,Cloud/Software
Vendor invoice — Staplers paper clips and binder accessories,Office Supplies
Recurring charge: Pest control and fumigation service charges,Utilities
Bill: Delhivery shipment for customer order fulfilment,Logistics
Steel bars and TMT rods for manufacturing,Inventory
Employee ID card printing and lanyards,Office Supplies
Vendor invoice — HP ink cartridge and toner replacement,Office Supplies
Vendor invoice — Mobile accessories wholesale lot for retail,Inventory
gst invoice for street lighting and compound security charges,Utilities
Return shipment reverse logistics processing fee,Logistics
figma professional design tool license,Cloud/Software
Piped water supply and sewerage charges,Utilities
payment towards slack business plus annual team subscription,Cloud/Software
razorpay payment gateway integration charges,Cloud/Software
Payment towards Food ingredients and spices bulk purchase,Inventory
Recurring charge: Microsoft Azure virtual machine and storage charges,Cloud/Software
Expense: Garment trims buttons zippers thread stock,Inventory
Expense: MTNL telephone and landline rental charges,Utilities
Building maintenance and common area electricity,Utilities
Bill: Wall clock and notice board for reception,Office Supplies
Bill: Monthly electricity bill for office premises,Utilities
Bill: IRCTC train ticket for team offsite Jaipur,Travel
vendor invoice — visiting cards and letterhead printing,Office Supplies
Payment towards Pharmaceutical raw materials API procurement,Inventory
gst invoice for fuel reimbursement for personal car used for work,Travel
Uber auto rickshaw for local client visit,Travel
expense: github team plan for private repositories,Cloud/Software
recurring charge: vistara business class ticket for ceo travel,Travel
Fire safety compliance and extinguisher refill,Utilities
Cement bags and construction materials purchase,Inventory
GST invoice for DTDC express parcel delivery charges,Logistics
Invoice for Waste disposal and garbage collection charges,Utilities
Payment towards Jira Software Cloud project management license,Cloud/Software
Street lighting and compound security charges,Utilities
street lighting and compound security charges — reimbursement claim,Utilities
Recurring charge: Cement bags and construction materials purchase,Inventory
Vendor invoice — MTNL telephone and landline rental charges,Utilities
Loading and unloading charges at distribution centre,Logistics
gst invoice for dhl express shipping for export consignment,Logistics
Bill: Projector screen for conference room,Office Supplies
GST invoice for Keyboard and mouse combo wireless set,Office Supplies
Invoice for Slack Business Plus annual team subscription,Cloud/Software
expense: battery cells and charger units procurement,Inventory
expense: ups battery backup for office computers,Office Supplies
Invoice for Projector screen for conference room,Office Supplies
Recurring charge: Paint and chemical solvents for production,Inventory
Visa processing and consulate fees for Singapore,Travel
New Relic application monitoring subscription — reimbursement claim,Cloud/Software
Payment towards Warehouse to warehouse stock transfer logistics,Logistics
gst invoice for vercel pro deployment and hosting plan,Cloud/Software
bill: oyo hotel accommodation for conference in bangalore,Travel
Invoice for Uber auto rickshaw for local client visit,Travel
Payment towards Cement bags and construction materials purchase,Inventory
Expense: Finished goods stock replenishment from vendor,Inventory
india post speed post and registered parcel charges,Logistics
slack business plus annual team subscription,Cloud/Software
invoice for street lighting and compound security charges,Utilities
mobile accessories wholesale lot for retail,Inventory
Payment towards Staplers paper clips and binder accessories,Office Supplies
Payment towards HP ink cartridge and toner replacement,Office Supplies
Bill: E-way bill compliant transporter charges for goods,Logistics
recurring charge: printer consumables and toner for resale,Inventory
invoice for chatgpt api usage and openai platform credits,Cloud/Software
Recurring charge: Printer consumables and toner for resale,Inventory
Payment towards Employee ID card printing and lanyards,Office Supplies
GST invoice for HP ink cartridge and toner replacement,Office Supplies
gst invoice for e-way bill compliant transporter charges for goods,Logistics
Adobe Creative Cloud all-apps subscription,Cloud/Software
Pen drive and external hard disk purchase,Office Supplies
Bill: Google Cloud Platform compute engine subscription,Cloud/Software
Bill: Jio fiber high-speed internet monthly rental,Utilities
Bill: BSNL broadband internet connection charges,Utilities
Expense: Mobile accessories wholesale lot for retail,Inventory
Salesforce CRM monthly enterprise license,Cloud/Software
Invoice for Municipal property tax and civic charges,Utilities
Bill: Bike delivery charges for same-day dispatch,Logistics
monthly electricity bill for office premises,Utilities
Bill: A4 printing paper ream pack for office use,Office Supplies
gst invoice for flight tickets delhi to mumbai for client meeting,Travel
Bill: Desk lamp LED study light for workstation,Office Supplies
herbal extracts and cosmetic raw materials,Inventory
Expense: Razorpay payment gateway integration charges,Cloud/Software
Cold chain transportation for perishable goods,Logistics
Invoice for Mobile accessories wholesale lot for retail,Inventory
Per diem meal allowance during Hyderabad trip — reimbursement claim,Travel
GST invoice for Slack Business Plus annual team subscription,Cloud/Software
Invoice for Battery cells and charger units procurement,Inventory
bill: mtnl telephone and landline rental charges,Utilities
GST invoice for Airport lounge access and priority boarding,Travel
first aid kit and safety supplies for office — reimbursement claim,Office Supplies
Pest control and fumigation service charges,Utilities
expense: chatgpt api usage and openai platform credits,Cloud/Software
invoice for commercial gas connection bill for canteen,Utilities
Recurring charge: Figma professional design tool license,Cloud/Software
GST invoice for Employee ID card printing and lanyards,Office Supplies
recurring charge: fire safety compliance and extinguisher refill,Utilities
Vendor invoice — Monthly electricity bill for office premises,Utilities
gst invoice for air conditioning amc and servicing charges,Utilities
ergonomic office chair for workstation — reimbursement claim,Office Supplies
Payment towards Notion team workspace annual subscription,Cloud/Software
Payment towards Zoom Pro video conferencing license renewal,Cloud/Software
Uber auto rickshaw for local client visit — reimbursement claim,Travel
Expense: IRCTC train ticket for team offsite Jaipur,Travel
Waste disposal and garbage collection charges,Utilities
piped water supply and sewerage charges,Utilities
Freight forwarding charges for container shipment,Logistics
Recurring charge: Paper shredder for document disposal,Office Supplies
parking charges at client premises and airport,Travel
Municipal property tax and civic charges — reimbursement claim,Utilities
Vendor invoice — Garment trims buttons zippers thread stock,Inventory
Vendor invoice — Bus ticket for employee inter-city commute,Travel
Bill: Cement bags and construction materials purchase,Inventory
Computer hardware components for assembly — reimbursement claim,Inventory
Vendor invoice — Keyboard and mouse combo wireless set,Office Supplies
Google Cloud Platform compute engine subscription,Cloud/Software
Vercel Pro deployment and hosting plan — reimbursement claim,Cloud/Software
bill: sewage treatment plant operating expenses,Utilities
Payment towards Piped water supply and sewerage charges,Utilities
Payment towards Courier charges for sending documents to client,Logistics
bill: mobile accessories wholesale lot for retail,Inventory
recurring charge: battery cells and charger units procurement,Inventory
bill: jio fiber high-speed internet monthly rental,Utilities
Shadowfax hyperlocal delivery charges,Logistics
Vendor invoice — Fire safety compliance and extinguisher refill,Utilities
GST invoice for Bus ticket for employee inter-city commute,Travel
building maintenance and common area electricity — reimbursement claim,Utilities
Monthly electricity bill for office premises,Utilities
Pest control and fumigation service charges,Utilities
Payment towards Blue Dart courier charges for warehouse delivery,Logistics
payment towards computer hardware components for assembly,Inventory
Payment towards DigitalOcean droplet and managed database charges,Cloud/Software
Warehouse to warehouse stock transfer logistics,Logistics
Payment towards Pen drive and external hard disk purchase,Office Supplies
Vendor invoice — Conference registration and travel grant,Travel
Expense: Waste disposal and garbage collection charges,Utilities
Vendor invoice — BSNL broadband internet connection charges,Utilities
invoice for wall clock and notice board for reception,Office Supplies
invoice for mtnl telephone and landline rental charges,Utilities
Payment towards Lift and elevator annual maintenance contract,Utilities
Recurring charge: Freight forwarding charges for container shipment,Logistics
Payment towards Finished goods stock replenishment from vendor,Inventory
Safety equipment helmets gloves for warehouse — reimbursement claim,Inventory
recurring charge: india post speed post and registered parcel charges,Logistics
Bill: Finished goods stock replenishment from vendor,Inventory
whiteboard markers and eraser set for meeting room,Office Supplies
GST invoice for Food ingredients and spices bulk purchase,Inventory
Packaging boxes cartons and bubble wrap,Inventory
GST invoice for Google Workspace Business email and storage plan,Cloud/Software
Metro card recharge for daily office commute,Travel
Payment towards Rental car with driver for week-long project site,Travel
Expense: Cloudflare domain and CDN service subscription,Cloud/Software
GitHub Team plan for private repositories,Cloud/Software
Recurring charge: Cold chain transportation for perishable goods,Logistics
Staplers paper clips and binder accessories — reimbursement claim,Office Supplies
Payment towards Air conditioning AMC and servicing charges,Utilities
Recurring charge: Toll charges for highway travel Pune to Mumbai,Travel
Payment towards Fire safety compliance and extinguisher refill,Utilities
payment towards irctc train ticket for team offsite jaipur,Travel
Solar panel maintenance and cleaning charges,Utilities
Vendor invoice — Salesforce CRM monthly enterprise license,Cloud/Software
GST invoice for Vistara business class ticket for CEO travel,Travel
Vendor invoice — Visa processing and consulate fees for Singapore,Travel
GST invoice for GitHub Team plan for private repositories,Cloud/Software
GST invoice for Figma professional design tool license,Cloud/Software
Blue Dart courier charges for warehouse delivery,Logistics
Commercial gas connection bill for canteen,Utilities
Figma professional design tool license,Cloud/Software
bill: visiting cards and letterhead printing,Office Supplies
Vendor invoice — Toll charges for highway travel Pune to Mumbai,Travel
invoice for municipal property tax and civic charges,Utilities
Expense: Conference registration and travel grant,Travel
Recurring charge: Bike delivery charges for same-day dispatch,Logistics
Notion team workspace annual subscription,Cloud/Software
bill: electronic components ics and pcbs for assembly,Inventory
digitalocean droplet and managed database charges,Cloud/Software
bill: commercial gas connection bill for canteen,Utilities
Payment towards Google Workspace Business email and storage plan,Cloud/Software
Expense: Flight tickets Delhi to Mumbai for client meeting,Travel
Figma professional design tool license,Cloud/Software
GST invoice for Wood timber and plywood for furniture workshop,Inventory
Expense: Metro card recharge for daily office commute,Travel
Recurring charge: Steel bars and TMT rods for manufacturing,Inventory
Payment towards Freight forwarding charges for container shipment,Logistics
recurring charge: building maintenance and common area electricity,Utilities
Vendor invoice — Freshdesk customer support software license,Cloud/Software
Expense: Wall clock and notice board for reception,Office Supplies
vendor invoice — oyo hotel accommodation for conference in bangalore,Travel
Bill: Blue Dart courier charges for warehouse delivery,Logistics
Food ingredients and spices bulk purchase,Inventory
Recurring charge: Finished goods stock replenishment from vendor,Inventory
Bill: AWS monthly cloud hosting and EC2 instance bill,Cloud/Software
Invoice for Wood timber and plywood for furniture workshop,Inventory
Automobile spare parts for service centre stock — reimbursement claim,Inventory
Per diem meal allowance during Hyderabad trip,Travel
Bill: Rajdhani Express train fare for business travel,Travel
payment towards diesel generator fuel for power backup,Utilities
Parking charges at client premises and airport,Travel
payment towards vercel pro deployment and hosting plan,Cloud/Software
invoice for diesel generator fuel for power backup,Utilities
Recurring charge: Loading and unloading charges at distribution centre,Logistics
Ecom Express last-mile delivery fee — reimbursement claim,Logistics
recurring charge: metro card recharge for daily office commute,Travel
Pharmaceutical raw materials API procurement,Inventory
Recurring charge: Fuel reimbursement for personal car used for work,Travel
visa processing and consulate fees for singapore,Travel
invoice for dhl express shipping for export consignment,Logistics
